Meal_ID,Dish_Name,Calories,Carbohydrates,Protein,Fats,Sodium,Fibre,Calcium,Iron,,
389,Pineapple Pachadi (Kerala fruit curry),130,25,2,4,120,3,40,1,,
390,Amrud ki Sabzi (Guava Curry),120,20,2,4,110,5,40,1.2,,
391,Raw Mango Kadhi,120,15,4,5,200,3,120,1.2,,
392,Apple Kheer (light can be made with low sugar),160,30,4,4,100,2,150,1,
393,Pomegranate Raita,90,15,3,3,100,2,120,0.8,,
394,Paneer Kulcha (stuffed whole wheat flatbread with paneer),220,30,10,8,250,3,200,2,,
395,Chenna Poda (baked cottage cheese Odisha as a snack with lower sugar),180,25,10,6,150,2,200,1.5
396,Dahi Baingan (Eggplant in Yogurt Odisha),110,12,4,5,140,4,120,1.5,
397,Lauki Raita (Bottle Gourd Yogurt Dip),90,10,4,4,120,3,100,1,,
398,Kadhi Bari (split pea flour dumplings in yogurt curry),160,20,6,6,250,4,150,1.8,,
399,Mor Kuzhambu (Tamil-style spiced yogurt curry),120,15,4,5,200,3,150,1.5,,
400,Srikhand (yogurt-based uses minimal sugar),160,25,6,5,120,0,200,0.8,
401,Egg Drop Curry (Whole eggs poached in light tomato gravy),160,5,13,9,290,2,100,2,,
402,Keema Baida Roti (Egg-stuffed Paratha with lean minced meat),240,25,15,10,300,3,100,2.5,,
403,Chicken Stew with Vegetables (Kerala),160,8,18,6,280,2,50,1.2,,
404,Fish Ambat (Goan coconut fish curry),180,6,20,8,320,2,80,2.2,,
405,Parsi Sali Boti (lean mutton with potato sticks use lean cut),220,10,22,10,380,3,60,2.5,
406,Methi (Fenugreek) Fish Curry,170,5,20,7,310,2,70,2,,
407,Egg Bhurji with Methi,160,6,13,9,270,3,110,2,,
